datetime;ask;bid;spread
2023-06-28 08:04:07.317;33917.5;33916.5;1.0
2023-06-28 08:04:07.518;33918.0;33917.0;1.0
2023-06-28 08:04:08.216;33917.5;33916.5;1.0
2023-06-28 08:04:08.517;33917.0;33916.0;1.0
2023-06-28 08:04:08.917;33917.5;33916.5;1.0
2023-06-28 08:04:09.131;33918.5;33917.5;1.0
2023-06-28 08:04:15.318;33918.0;33917.0;1.0
2023-06-28 08:04:15.817;33918.5;33917.5;1.0
2023-06-28 08:04:17.518;33918.0;33917.0;1.0
2023-06-28 08:04:22.523;33918.5;33917.5;1.0
2023-06-28 08:04:25.417;33919.0;33918.0;1.0
2023-06-28 08:04:26.319;33919.5;33918.5;1.0
2023-06-28 08:04:30.617;33919.0;33918.0;1.0
2023-06-28 08:04:31.116;33919.5;33918.5;1.0
2023-06-28 08:04:32.922;33919.0;33918.0;1.0
2023-06-28 08:04:34.518;33919.5;33918.5;1.0
2023-06-28 08:04:36.216;33918.0;33917.0;1.0
2023-06-28 08:04:36.418;33917.5;33916.5;1.0
2023-06-28 08:04:36.719;33918.5;33917.5;1.0
2023-06-28 08:04:38.921;33919.0;33918.0;1.0
2023-06-28 08:04:39.222;33919.5;33918.5;1.0
2023-06-28 08:04:40.416;33919.0;33918.0;1.0
2023-06-28 08:04:41.316;33918.0;33917.0;1.0
2023-06-28 08:04:42.017;33918.5;33917.5;1.0
2023-06-28 08:04:42.817;33919.0;33918.0;1.0
2023-06-28 08:04:43.017;33919.5;33918.5;1.0
2023-06-28 08:04:43.217;33919.0;33918.0;1.0
2023-06-28 08:04:44.137;33919.5;33918.5;1.0
2023-06-28 08:04:52.818;33920.0;33919.0;1.0
2023-06-28 08:04:53.217;33920.5;33919.5;1.0
2023-06-28 08:04:53.723;33922.0;33921.0;1.0
2023-06-28 08:04:57.216;33922.5;33921.5;1.0
2023-06-28 08:05:00.317;33922.0;33921.0;1.0
2023-06-28 08:05:00.623;33922.5;33921.5;1.0
2023-06-28 08:05:01.916;33922.0;33921.0;1.0
2023-06-28 08:05:02.717;33922.5;33921.5;1.0
2023-06-28 08:05:05.019;33924.0;33923.0;1.0
2023-06-28 08:05:05.319;33925.0;33924.0;1.0
2023-06-28 08:05:05.717;33924.5;33923.5;1.0
2023-06-28 08:05:06.716;33925.0;33924.0;1.0
2023-06-28 08:05:07.916;33925.5;33924.5;1.0
2023-06-28 08:05:09.216;33927.0;33926.0;1.0
2023-06-28 08:05:10.216;33926.0;33925.0;1.0
2023-06-28 08:05:11.321;33927.0;33926.0;1.0
2023-06-28 08:05:12.417;33927.5;33926.5;1.0
2023-06-28 08:05:12.822;33927.0;33926.0;1.0
2023-06-28 08:05:14.624;33927.5;33926.5;1.0
2023-06-28 08:05:15.818;33928.0;33927.0;1.0
2023-06-28 08:05:17.217;33927.0;33926.0;1.0
2023-06-28 08:05:18.617;33927.5;33926.5;1.0
2023-06-28 08:05:18.917;33928.0;33927.0;1.0
2023-06-28 08:05:19.216;33928.5;33927.5;1.0
2023-06-28 08:05:21.017;33929.0;33928.0;1.0
2023-06-28 08:05:22.918;33929.5;33928.5;1.0
2023-06-28 08:05:24.317;33929.0;33928.0;1.0
2023-06-28 08:05:27.417;33929.5;33928.5;1.0
2023-06-28 08:05:29.016;33929.0;33928.0;1.0
2023-06-28 08:05:30.316;33927.5;33926.5;1.0
2023-06-28 08:05:31.013;33928.0;33927.0;1.0
2023-06-28 08:05:33.018;33928.5;33927.5;1.0
2023-06-28 08:05:40.116;33928.0;33927.0;1.0
2023-06-28 08:05:40.917;33927.5;33926.5;1.0
2023-06-28 08:05:44.118;33928.0;33927.0;1.0
2023-06-28 08:05:44.317;33928.5;33927.5;1.0
2023-06-28 08:05:46.418;33928.0;33927.0;1.0
2023-06-28 08:05:49.717;33928.5;33927.5;1.0
2023-06-28 08:05:55.816;33929.0;33928.0;1.0
2023-06-28 08:05:57.616;33928.0;33927.0;1.0
2023-06-28 08:05:58.517;33928.5;33927.5;1.0
2023-06-28 08:06:03.220;33928.0;33927.0;1.0
2023-06-28 08:06:05.617;33927.5;33926.5;1.0
2023-06-28 08:06:06.718;33927.0;33926.0;1.0
2023-06-28 08:06:07.418;33928.0;33927.0;1.0
2023-06-28 08:06:11.316;33927.5;33926.5;1.0
2023-06-28 08:06:12.116;33928.0;33927.0;1.0
2023-06-28 08:06:14.916;33928.5;33927.5;1.0
2023-06-28 08:06:15.410;33929.0;33928.0;1.0
2023-06-28 08:06:16.518;33928.5;33927.5;1.0
2023-06-28 08:06:16.820;33928.0;33927.0;1.0
2023-06-28 08:06:17.816;33928.5;33927.5;1.0
2023-06-28 08:06:18.417;33928.0;33927.0;1.0
2023-06-28 08:06:19.817;33928.5;33927.5;1.0
2023-06-28 08:06:22.517;33929.0;33928.0;1.0
2023-06-28 08:06:25.122;33929.5;33928.5;1.0
2023-06-28 08:06:26.717;33929.0;33928.0;1.0
2023-06-28 08:06:28.416;33929.5;33928.5;1.0
2023-06-28 08:06:29.416;33930.0;33929.0;1.0
2023-06-28 08:06:29.716;33930.5;33929.5;1.0
2023-06-28 08:06:32.218;33930.0;33929.0;1.0
2023-06-28 08:06:32.516;33929.0;33928.0;1.0
2023-06-28 08:06:32.825;33929.5;33928.5;1.0
2023-06-28 08:06:35.033;33928.5;33927.5;1.0
2023-06-28 08:06:36.319;33929.5;33928.5;1.0
2023-06-28 08:06:37.818;33930.5;33929.5;1.0
2023-06-28 08:06:41.416;33930.0;33929.0;1.0
2023-06-28 08:06:41.816;33929.5;33928.5;1.0
2023-06-28 08:06:43.017;33930.0;33929.0;1.0
2023-06-28 08:06:43.317;33929.5;33928.5;1.0
2023-06-28 08:06:44.119;33930.0;33929.0;1.0
2023-06-28 08:06:45.113;33929.5;33928.5;1.0
2023-06-28 08:06:45.416;33930.5;33929.5;1.0
2023-06-28 08:06:47.716;33931.5;33930.5;1.0
2023-06-28 08:06:49.018;33931.0;33930.0;1.0
2023-06-28 08:06:50.417;33930.5;33929.5;1.0
2023-06-28 08:06:51.216;33930.0;33929.0;1.0
2023-06-28 08:06:51.632;33930.5;33929.5;1.0
2023-06-28 08:06:52.416;33931.0;33930.0;1.0
2023-06-28 08:06:52.715;33930.5;33929.5;1.0
2023-06-28 08:06:53.821;33929.5;33928.5;1.0
2023-06-28 08:06:54.415;33930.5;33929.5;1.0
2023-06-28 08:06:55.517;33929.5;33928.5;1.0
2023-06-28 08:07:00.318;33930.0;33929.0;1.0
2023-06-28 08:07:01.416;33929.5;33928.5;1.0
2023-06-28 08:07:02.818;33930.0;33929.0;1.0
